"","country","year","id","polity2","conflict","region","civtot","inttot","nborder","muslim","ethnic","politic"
"1","Afghanistan",1946,"Afghanistan1946",-10,0,"Asia",0,0,"3 - 5","Muslim Majority States(> 50%)","No Ethnical Conflicts","Autocratic States"
"2","Afghanistan",1947,"Afghanistan1947",-10,0,"Asia",0,0,"3 - 5","Muslim Majority States(> 50%)","No Ethnical Conflicts","Autocratic States"
"3","Afghanistan",1948,"Afghanistan1948",-10,0,"Asia",0,0,"3 - 5","Muslim Majority States(> 50%)","No Ethnical Conflicts","Autocratic States"
"4","Afghanistan",1949,"Afghanistan1949",-10,0,"Asia",0,0,"3 - 5","Muslim Majority States(> 50%)","No Ethnical Conflicts","Autocratic States"
"5","Afghanistan",1950,"Afghanistan1950",-10,0,"Asia",0,0,"3 - 5","Muslim Majority States(> 50%)","No Ethnical Conflicts","Autocratic States"
"6","Afghanistan",1951,"Afghanistan1951",-10,0,"Asia",0,0,"3 - 5","Muslim Majority States(> 50%)","No Ethnical Conflicts","Autocratic States"
"7","Afghanistan",1952,"Afghanistan1952",-10,0,"Asia",0,0,"3 - 5","Muslim Majority States(> 50%)","No Ethnical Conflicts","Autocratic States"
"8","Afghanistan",1953,"Afghanistan1953",-10,0,"Asia",0,0,"3 - 5","Muslim Majority States(> 50%)","No Ethnical Conflicts","Autocratic States"
"9","Afghanistan",1954,"Afghanistan1954",-10,0,"Asia",0,0,"3 - 5","Muslim Majority States(> 50%)","No Ethnical Conflicts","Autocratic States"
"10","Afghanistan",1955,"Afghanistan1955",-10,0,"Asia",0,0,"3 - 5","Muslim Majority States(> 50%)","No Ethnical Conflicts","Autocratic States"
"11","Afghanistan",1956,"Afghanistan1956",-10,0,"Asia",0,0,"3 - 5","Muslim Majority States(> 50%)","No Ethnical Conflicts","Autocratic States"
"12","Afghanistan",1957,"Afghanistan1957",-10,0,"Asia",0,0,"3 - 5","Muslim Majority States(> 50%)","No Ethnical Conflicts","Autocratic States"
"13","Afghanistan",1958,"Afghanistan1958",-10,0,"Asia",0,0,"3 - 5","Muslim Majority States(> 50%)","No Ethnical Conflicts","Autocratic States"
"14","Afghanistan",1959,"Afghanistan1959",-10,0,"Asia",0,0,"3 - 5","Muslim Majority States(> 50%)","No Ethnical Conflicts","Autocratic States"
"15","Afghanistan",1960,"Afghanistan1960",-10,0,"Asia",0,0,"3 - 5","Muslim Majority States(> 50%)","No Ethnical Conflicts","Autocratic States"
"16","Afghanistan",1961,"Afghanistan1961",-10,0,"Asia",0,0,"3 - 5","Muslim Majority States(> 50%)","No Ethnical Conflicts","Autocratic States"
"17","Afghanistan",1962,"Afghanistan1962",-10,0,"Asia",0,0,"3 - 5","Muslim Majority States(> 50%)","No Ethnical Conflicts","Autocratic States"
"18","Afghanistan",1963,"Afghanistan1963",-10,0,"Asia",0,0,"3 - 5","Muslim Majority States(> 50%)","No Ethnical Conflicts","Autocratic States"
"19","Afghanistan",1964,"Afghanistan1964",-7,0,"Asia",0,0,"3 - 5","Muslim Majority States(> 50%)","No Ethnical Conflicts","Autocratic States"
"20","Afghanistan",1965,"Afghanistan1965",-7,0,"Asia",0,0,"3 - 5","Muslim Majority States(> 50%)","No Ethnical Conflicts","Autocratic States"
"21","Afghanistan",1966,"Afghanistan1966",-7,0,"Asia",0,0,"3 - 5","Muslim Majority States(> 50%)","No Ethnical Conflicts","Autocratic States"
"22","Afghanistan",1967,"Afghanistan1967",-7,0,"Asia",0,0,"3 - 5","Muslim Majority States(> 50%)","No Ethnical Conflicts","Autocratic States"
"23","Afghanistan",1968,"Afghanistan1968",-7,0,"Asia",0,0,"3 - 5","Muslim Majority States(> 50%)","No Ethnical Conflicts","Autocratic States"
"24","Afghanistan",1969,"Afghanistan1969",-7,0,"Asia",0,0,"3 - 5","Muslim Majority States(> 50%)","No Ethnical Conflicts","Autocratic States"
"25","Afghanistan",1970,"Afghanistan1970",-7,0,"Asia",0,0,"3 - 5","Muslim Majority States(> 50%)","No Ethnical Conflicts","Autocratic States"
"26","Afghanistan",1971,"Afghanistan1971",-7,0,"Asia",0,0,"3 - 5","Muslim Majority States(> 50%)","No Ethnical Conflicts","Autocratic States"
"27","Afghanistan",1972,"Afghanistan1972",-7,0,"Asia",0,0,"3 - 5","Muslim Majority States(> 50%)","No Ethnical Conflicts","Autocratic States"
