"","cyear","ccode","scode","country","year","democ","autoc","polity","polity2","region","GDP_per _capita","population"
"1",22017,2,"USA","United States",2017,8,0,8,8,"Europe and North America",59531.661964344,325719178
"2",202017,20,"CAN","Canada",2017,10,0,10,10,"Europe and North America",45032.1199081697,36708083
"3",402017,40,"CUB","Cuba",2017,0,7,-7,-7,"Central and South America",7602.3,11484636
"4",412017,41,"HAI","Haiti",2017,6,1,5,5,"Central and South America",765.683924629642,10981229
"5",422017,42,"DOM","Dominican Republic",2017,8,1,7,7,"Central and South America",7052.25883896858,10766998
"6",512017,51,"JAM","Jamaica",2017,9,0,9,9,"Central and South America",5109.5526491955,2890299
"7",522017,52,"TRI","Trinidad and Tobago",2017,10,0,10,10,"Central and South America",16145.1845729645,1369125
"8",702017,70,"MEX","Mexico",2017,8,0,8,8,"Central and South America",8902.83082294794,129163276
"9",902017,90,"GUA","Guatemala",2017,9,1,8,8,"Central and South America",4470.98957191189,16913503
"10",912017,91,"HON","Honduras",2017,6,1,5,5,"Central and South America",2480.12592858547,9265067
"11",922017,92,"SAL","El Salvador",2017,8,0,8,8,"Central and South America",3889.30876895407,6377853
"12",932017,93,"NIC","Nicaragua",2017,7,1,6,6,"Central and South America",2221.80644458727,6217581
"13",942017,94,"COS","Costa Rica",2017,10,0,10,10,"Central and South America",11630.6683963387,4905769
"14",952017,95,"PAN","Panama",2017,9,0,9,9,"Central and South America",15087.6816327188,4098587
"15",1002017,100,"COL","Colombia",2017,7,0,7,7,"Central and South America",6301.58987782717,49065615
"16",1012017,101,"VEN","Venezuela, RB",2017,1,4,-3,-3,"Central and South America",15296.4,31977065
"17",1102017,110,"GUY","Guyana",2017,8,1,7,7,"Central and South America",4725.31906329949,777859
"18",1152017,115,"SUR","Suriname",2017,6,1,5,5,"Central and South America",5900.55648589599,563402
"19",1302017,130,"ECU","Ecuador",2017,6,1,5,5,"Central and South America",6198.94732333954,16624858
